Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
21.36.39(1),FALSE,FALSE,811169,Drawings and Prints,Print,"Woman with a Cow (Frau Mit Kuh), from Max Liebermann Etchings",,,,,,Publisher|Artist|Author,,Photographische Gesellschaft|Max Liebermann|R. Graul,"German, Berlin 1847–1935 Berlin",,"Photographische Gesellschaft|Liebermann, Max|Graul, R.",,1910      |1847      ,1910      |1935      ,1892,1892,1892,Etching,Sheet: 21 1/4 × 15 7/16 in. (53.9 × 39.2 cm),,,,,,,,,,,,,,,,,
"Plate: 4 3/8 × 6 3/4 in. (11.1 × 17.2 cm)""","Museum Accession, transferred from the Library, 1921",,,,,,,,,,,,Books|Prints,,http://www.metmuseum.org/art/collection/search/811169,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
2018.454,FALSE,FALSE,811170,Costume Institute,Dress,Dress,British,,,,,Designer|Designer,,Malcolm McLaren|Vivienne Westwood,"British, London 1946–2010 Switzerland|British, born 1941",,"McLaren Malcolm|Westwood, Vivienne",,1946-01-22|1941      ,2010-04-08|2041      ,fall/winter 1983–84,1983,1984,wool,,"Purchase, Gould Family Foundation Gift, in Memory of Jo Copeland, 2018",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/811170,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
2018.455a–c,FALSE,FALSE,811171,Costume Institute,Ensemble,Ensemble,British,,,,,Designer|Designer,,Vivienne Westwood|Malcolm McLaren,"British, born 1941|British, London 1946–2010 Switzerland",,"Westwood, Vivienne|McLaren Malcolm",,1941      |1946-01-22,2041      |2010-04-08,spring/summer 1983,1983,1983,"wool, cotton",,"Purchase, Gould Family Foundation Gift, in Memory of Jo Copeland, 2018",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/811171,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
28.93.7,FALSE,FALSE,811173,Drawings and Prints,Print,Portrait of Jules Jacquemart,,,,,,Artist|Printer|Sitter,,Marcellin-Gilbert Desboutin|Alfred Cadart|Jules-Ferdinand Jacquemart,"French, Cérilly 1823–1902 Nice|French, 1825–1875|French, Paris 1837–1880 Paris",,"Desboutin, Marcellin-Gilbert|Cadart, Alfred|Jacquemart, Jules-Ferdinand",,1823      |1825      |1837      ,1902      |1875      |1880      ,1876,1876,1876,Drypoint; second state of two,Sheet: 10 7/16 × 8 1/8 in. (26.5 × 20.6 cm),,,,,,,,,,,,,,,,,
"Plate: 6 1/8 × 4 3/4 in. (15.6 × 12 cm)""","Harris Brisbane Dick Fund, 1928",,Paris,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811173,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
59.533.1274,FALSE,FALSE,811174,Drawings and Prints,Print,Grotesque Borders for Rooms & Halls,,,,,,Artist|Publisher|Artist,After,"Thomas Rowlandson|Rudolph Ackermann, London|George Moutard Woodward","British, London 1757–1827 London|active 1794–1829|British, ca. 1760–1809 London",,"Rowlandson, Thomas|Ackermann, Rudolph|Woodward, George Moutard",,1757      |1764      |1760      ,1827      |1834      |1809      ,"[1800], reprint",1800,1800,Hand-colored etching,Sheet (Trimmed): 18 11/16 × 12 15/16 in. (47.5 × 32.8 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811174,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
22.63.178,FALSE,FALSE,811175,Drawings and Prints,Print,Portrait of Edmond de Goncourt,,,,,,Artist|Sitter,,Marcellin-Gilbert Desboutin|Edmond de Goncourt,"French, Cérilly 1823–1902 Nice|French, Paris 1822–1896 Paris",,"Desboutin, Marcellin-Gilbert|Goncourt, Edmond de",,1823      |1822      ,1902      |1896      ,1875,1875,1875,Drypoint,Sheet: 15 15/16 × 11 1/4 in. (40.5 × 28.6 cm),,,,,,,,,,,,,,,,,
"Plate: 6 1/4 × 4 3/4 in. (15.8 × 12 cm)""","Rogers Fund, 1922",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811175,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
1970.541.58,FALSE,FALSE,811176,Drawings and Prints,Print,"Grotesque Borders for Screens, Billiard Rooms, Dressing Rooms, &c &c",,,,,,Artist|Artist|Publisher,After,"Thomas Rowlandson|George Moutard Woodward|Rudolph Ackermann, London","British, London 1757–1827 London|British, ca. 1760–1809 London|active 1794–1829",,"Rowlandson, Thomas|Woodward, George Moutard|Ackermann, Rudolph",,1757      |1760      |1764      ,1827      |1809      |1834      ,1799–1800,1799,1800,Etching in brown ink,Sheet: 14 1/16 × 19 3/4 in. (35.7 × 50.2 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund and Harris Brisbane Dick Fund, by Exchange, 1970",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811176,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
22.63.151,FALSE,FALSE,811177,Drawings and Prints,Print,Portrait of an unknown man,,,,,,Artist,,Marcellin-Gilbert Desboutin,"French, Cérilly 1823–1902 Nice",,"Desboutin, Marcellin-Gilbert",,1823,1902,late 19th century,1860,1899,Drypoint,Sheet: 16 9/16 × 11 15/16 in. (42 × 30.4 cm),,,,,,,,,,,,,,,,,
"Plate: 6 1/4 × 4 5/8 in. (15.9 × 11.8 cm)""","Rogers Fund, 1922",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811177,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
22.63.158,FALSE,FALSE,811178,Drawings and Prints,Print,Portrait of Alphonse Karr,,,,,,Printer|Artist|Sitter,,Alfred Cadart|Marcellin-Gilbert Desboutin|Alphonse Karr,"French, 1825–1875|French, Cérilly 1823–1902 Nice|French, 1808–1890",,"Cadart, Alfred|Desboutin, Marcellin-Gilbert|Karr, Alphonse",,1825      |1823      |1808      ,1875      |1902      |1890      ,1878,1878,1878,Drypoint; third state of three,Sheet: 10 3/16 × 6 15/16 in. (25.8 × 17.7 cm),,,,,,,,,,,,,,,,,
"Plate: 4 5/8 × 3 1/16 in. (11.7 × 7.8 cm)""","Rogers Fund, 1922",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811178,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
TS1403 .W38 1873 Quarto no.401-458,TRUE,TRUE,811179,The Libraries,,"Collection of specimens and illustrations of the textile manufactures of India. Second series : Kincobs, Nos. 401 to 458",,,,,,Lithographer|Publisher|Editor,,William Griggs|India Museum|John Forbes Watson,"Scottish, 1827–1892",,"Griggs, William |India Museum|Watson, John Forbes",,1832      |1801      |1827      ,1911      |1892      ,1873-1880,1873,1880,,"1 volume : chiefly color illustrations, samples ; Height: 13 3/4 in. (35 cm) - 17 11/16 in. (45 cm)",,,,,,,,,,,,,,,,,
",,,London,,,England,,,,,,,,,http://www.metmuseum.org/art/collection/search/811179,12/24/2018 8:00:01 AM,Metropolitan Museum of Art", New York," NY""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110.81 Au22 Q v.2,TRUE,FALSE,811180,The Libraries,,The ornamental arts of Japan,,,,,,Publisher|Author,,Charles Scribner's Sons|George Ashdown Audsley,"British, Elgin, Scotland 1838–1925 New York",,"Scribner's Sons|Audsley, George Ashdown",,1838,1925,1883,1883,1883,,2 volumes : illustrations (some color) ; Height: 15 3/4 in. (40 cm),,,New York,,New York,,,,,,,,,,http://www.metmuseum.org/art/collection/search/811180,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
122.82C C82 F,TRUE,TRUE,811182,The Libraries,,"Architecture arabe : ou, Monuments du Kaire, mesurés et dessinés, de 1818 à 1826",,,,,,Publisher|Author,,Firmin Didot Freres|Pascal Coste,"French|French, 1787–1879",,"Firmin Didot Freres|Coste, Pascal",,1787,1879,1839,1839,1839,,"2 pages, leaf, ii, [3]-52 pages, 85 leaves of plates : illustrations, map, 12 plans ; Height: 23 5/8 × 16 9/16 in. (60 cm)",,,Paris,,,France,,,,,,,,,http://www.metmuseum.org/art/collection/search/811182,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
22.63.168,FALSE,FALSE,811184,Drawings and Prints,Print,Mlle. Mou-Mou,,,,,,Artist,,Marcellin-Gilbert Desboutin,"French, Cérilly 1823–1902 Nice",,"Desboutin, Marcellin-Gilbert",,1823,1902,1880,1880,1880,Drypoint,Sheet: 18 11/16 × 13 9/16 in. (47.5 × 34.5 cm),,,,,,,,,,,,,,,,,
"Plate: 11 × 7 15/16 in. (27.9 × 20.1 cm)""","Rogers Fund, 1922",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811184,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
22.63.154,FALSE,FALSE,811185,Drawings and Prints,Print,Portrait of Jules Sandeau,,,,,,Artist,,Marcellin-Gilbert Desboutin,"French, Cérilly 1823–1902 Nice",,"Desboutin, Marcellin-Gilbert",,1823,1902,1879,1879,1879,Drypoint,Sheet: 14 1/8 × 9 15/16 in. (35.8 × 25.3 cm),,,,,,,,,,,,,,,,,
"Plate: 4 5/8 × 3 1/16 in. (11.8 × 7.7 cm)""","Rogers Fund, 1922",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811185,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
111.6 C438 Q,TRUE,FALSE,811186,The Libraries,,"Art by telephone : an exhibition organized by the Museum of Contemporary Art under the sponsorship of the American National Bank and Trust Company of Chicago, November 1 to December 14, 1969",,,,,,Publisher|Author,,"Museum of Contemporary Art, Chicago|Jan van der Marck",,,"Museum of Contemporary Art, Chicago|Marck, Jan van der",,,,1969,1969,1969,,"1 sound disc : analog, 33 1/3 rpm; Height: 12 in. (30.5 cm)",,,Chicago,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/811186,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
22.63.166,FALSE,FALSE,811187,Drawings and Prints,Print,Portrait of Emile Soldi,,,,,,Artist|Sitter,,Marcellin-Gilbert Desboutin|Émile Soldi-Colbert,"French, Cérilly 1823–1902 Nice|French, Paris 1846–1906 Rome",,"Desboutin, Marcellin-Gilbert|Soldi-Colbert, Émile",,1823      |1846      ,1902      |1906      ,1876,1876,1876,Drypoint; second state of two,Sheet: 18 5/16 × 13 7/16 in. (46.5 × 34.2 cm),,,,,,,,,,,,,,,,,
"Plate: 7 11/16 × 5 13/16 in. (19.6 × 14.8 cm)""","Rogers Fund, 1922",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811187,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
1990.1175.1,FALSE,FALSE,811188,Drawings and Prints,Print,"Virgin and Child, after Murillo",,,,,,Artist|Artist,After,Marcellin-Gilbert Desboutin|Bartolomé Estebán Murillo,"French, Cérilly 1823–1902 Nice|Spanish, Seville 1617–1682 Seville",,"Desboutin, Marcellin-Gilbert|Murillo, Bartolomé Estebán",,1823      |1617      ,1902      |1682      ,1858,1858,1858,"Etching, drypoint",Sheet: 15 5/8 × 11 5/8 in. (39.7 × 29.6 cm),,,,,,,,,,,,,,,,,
"Plate: 10 9/16 × 8 in. (26.8 × 20.3 cm)""","A. Hyatt Mayor Purchase Fund, Marjorie Phelps Starr Bequest, 1990",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811188,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
32.74.1,FALSE,FALSE,811190,Drawings and Prints,Print,"Title plate from 'The collection of the most notable things seen by John Wilkins, erudite English bishop, on his famous trip from the Earth to the Moon... (Raccolta delle cose più notabili Vedute da Giovanni Wilkins erudito Vescove Inglese nel suo famoso viaggio dalla Terra alla Luna...)",,,,,,Artist,,Filippo Morghen,"Italian, Florence 1730–after 1807 Naples",,"Morghen, Filippo",,1730,1807,after 1783,1783,1813,Etching; third state,Plate: 10 11/16 × 15 1/8 in. (27.2 × 38.4 cm),,,,,,,,,,,,,,,,,
"Sheet: 12 13/16 in. × 19 in. (32.5 × 48.3 cm)""","The Harris Brisbane Dick Fund, 1932",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811190,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
17.3.888-281,FALSE,FALSE,811191,Drawings and Prints,Print,Grotesque Borders for Rooms & Halls,,,,,,Artist|Publisher|Artist,After,"Thomas Rowlandson|Rudolph Ackermann, London|George Moutard Woodward","British, London 1757–1827 London|active 1794–1829|British, ca. 1760–1809 London",,"Rowlandson, Thomas|Ackermann, Rudolph|Woodward, George Moutard",,1757      |1764      |1760      ,1827      |1834      |1809      ,"December 1, 1800",1800,1800,Hand-colored etching,Sheet (Trimmed): 13 in. × 18 7/16 in. (33 × 46.9 cm),"Harris Brisbane Dick Fund, 1917",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811191,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
59.533.744,FALSE,FALSE,811193,Drawings and Prints,Print,"Penserosa, Tally! Ho! Rum!, Allegora",,,,,,Publisher|Artist,,"Rudolph Ackermann, London|Thomas Rowlandson","active 1794–1829|British, London 1757–1827 London",,"Ackermann, Rudolph|Rowlandson, Thomas",,1764      |1757      ,1834      |1827      ,"August 15, 1800",1800,1800,Hand-colored etching,Plate: 10 5/8 × 14 5/8 in. (27 × 37.1 cm),,,,,,,,,,,,,,,,,
"Sheet: 12 1/8 × 16 3/16 in. (30.8 × 41.1 cm)""","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811193,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
2018.361,FALSE,FALSE,811194,Asian Art,Folio,,"India, Himachal Pradesh, unidentified sub-school",Pahari period,,,,,,,,,,,,,ca. 1690–1710,1680,1720,Opaque watercolor on paper,4 3/16 × 10 7/8 in. (10.7 × 27.7 cm),,,,,,,,,,,,,Manuscripts,,http://www.metmuseum.org/art/collection/search/811194,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
2018.362,FALSE,FALSE,811195,Asian Art,Folio,,"India, Himachal Pradesh, unidentified sub-school",Pahari period,,,,,,,,,,,,,ca. 1690–1710,1680,1720,Opaque watercolor on paper,4 1/2 × 10 3/4 in. (11.4 × 27.3 cm),,,,,,,,,,,,,Manuscripts,,http://www.metmuseum.org/art/collection/search/811195,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
2018.363,FALSE,FALSE,811196,Asian Art,Folio,,"India, Himachal Pradesh, unidentified sub-school",Pahari period,,,,,,,,,,,,,ca. 1690–1710,1680,1720,Opaque watercolor on paper,4 3/8 × 11 in. (11.1 × 27.9 cm),,,,,,,,,,,,,Manuscripts,,http://www.metmuseum.org/art/collection/search/811196,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
59.533.745,FALSE,FALSE,811197,Drawings and Prints,Print,"Funeralorum, Virginia, Hazardorum",,,,,,Publisher|Artist,,"Rudolph Ackermann, London|Thomas Rowlandson","active 1794–1829|British, London 1757–1827 London",,"Ackermann, Rudolph|Rowlandson, Thomas",,1764      |1757      ,1834      |1827      ,"August 15, 1800",1800,1800,Hand-colored etching,Plate: 10 9/16 × 14 11/16 in. (26.8 × 37.3 cm),,,,,,,,,,,,,,,,,
"Sheet: 12 15/16 in. × 18 in. (32.8 × 45.7 cm)""","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811197,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
59.533.746,FALSE,FALSE,811198,Drawings and Prints,Print,"Battleorum, Billingsgatina, Trafficorum",,,,,,Publisher|Artist,,"Rudolph Ackermann, London|Thomas Rowlandson","active 1794–1829|British, London 1757–1827 London",,"Ackermann, Rudolph|Rowlandson, Thomas",,1764      |1757      ,1834      |1827      ,"August 15, 1800",1800,1800,Hand-colored etching,Plate: 10 5/8 × 14 3/4 in. (27 × 37.5 cm),,,,,,,,,,,,,,,,,
"Sheet: 13 1/8 × 17 15/16 in. (33.3 × 45.6 cm)""","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811198,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
59.533.747,FALSE,FALSE,811199,Drawings and Prints,Print,"Barberorum, Flora, Lawyerorum",,,,,,Publisher|Artist,,"Rudolph Ackermann, London|Thomas Rowlandson","active 1794–1829|British, London 1757–1827 London",,"Ackermann, Rudolph|Rowlandson, Thomas",,1764      |1757      ,1834      |1827      ,"August 15, 1800",1800,1800,Hand-colored etching,Plate: 10 11/16 × 14 13/16 in. (27.2 × 37.7 cm),,,,,,,,,,,,,,,,,
"Sheet: 11 7/16 × 16 9/16 in. (29 × 42.1 cm)""","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811199,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
32.74.8,FALSE,FALSE,811200,Drawings and Prints,Print,"Plate 7 from 'The collection of the most notable things seen by John Wilkins, erudite English bishop, on his famous trip from the Earth to the Moon... (Raccolta delle cose più notabili Vedute da Giovanni Wilkins erudito Vescove Inglese nel suo famoso viaggio dalla Terra alla Luna...): 'Pumpkins used as dwellings to secure against wild beasts' (Zucche che servono d'abitazioni per garantirsi dalle fiere)",,,,,,Artist,,Filippo Morghen,"Italian, Florence 1730–after 1807 Naples",,"Morghen, Filippo",,1730,1807,after 1783,1783,1813,Etching and aquatint,Plate: 10 13/16 × 15 3/16 in. (27.4 × 38.6 cm),,,,,,,,,,,,,,,,,
"Sheet: 12 11/16 × 18 13/16 in. (32.2 × 47.8 cm)""","The Harris Brisbane Dick Fund, 1932",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811200,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
2018.566.1,FALSE,FALSE,811201,Islamic Art,Photograph,"Indigo Extraction 1, Tamil Nadu",,,,,,Artist,,Briana Blasko,"American, born San Francisco, California, 1977",,"Blasko, Briana",,1977,2077,2010,1985,2035,Ink on paper; printed,H: 8 in (20.3 cm) x W: 12 in (30.5 cm),"Gift of Briana Blasko in honor of the Indigo Workers in Tindivanam, Tamil Nadu, 2018",Country of Origin,,,,India,,,,,,,Photographs,© Briana Blasko,http://www.metmuseum.org/art/collection/search/811201,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
2018.566.2,FALSE,FALSE,811202,Islamic Art,Photograph,"Indigo Extraction 4, Tamil Nadu",,,,,,Artist,,Briana Blasko,"American, born San Francisco, California, 1977",,"Blasko, Briana",,1977,2077,2010,1985,2035,Ink on paper; printed,H: 8 in (20.3 cm) x W: 12 in (30.5 cm),"Gift of Briana Blasko in honor of the Indigo Workers in Tindivanam, Tamil Nadu, 2018",Country of Origin,,,,India,,,,,,,Photographs,© Briana Blasko,http://www.metmuseum.org/art/collection/search/811202,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
2018.566.3,FALSE,FALSE,811203,Islamic Art,Photograph,"Indigo Extraction 3, Tamil Nadu",,,,,,Artist,,Briana Blasko,"American, born San Francisco, California, 1977",,"Blasko, Briana",,1977,2077,2010,1985,2035,Ink on paper; printed,H: 8 in (20.3 cm) x 12 in (30.5 cm),"Gift of Briana Blasko in honor of the Indigo Workers in Tindivanam, Tamil Nadu, 2018",Country of Origin,,,,India,,,,,,,Photographs,© Briana Blasko,http://www.metmuseum.org/art/collection/search/811203,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
26.61.29(5),FALSE,FALSE,811204,Drawings and Prints,Print,"Caretaker with Child (Wärterin mit Kind), from 9 Lithographs",,,,,,Publisher|Artist,,Bruno Cassirer|Max Liebermann,"German, Berlin 1847–1935 Berlin",,"Cassirer, Bruno|Liebermann, Max",,1847,1935,1926,1926,1926,Lithograph; proof,Sheet: 12 3/8 × 16 7/8 in. (31.4 × 42.9 cm),"Harris Brisbane Dick Fund, 1926",,,,,,,,,,,,Portfolios|Prints,,http://www.metmuseum.org/art/collection/search/811204,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
59.533.1002,FALSE,FALSE,811205,Drawings and Prints,Print,Directions to Footmen,,,,,,Publisher|Artist,,Thomas Tegg|Thomas Rowlandson,"British, 1776–1846|British, London 1757–1827 London",,"Tegg, Thomas|Rowlandson, Thomas",,1776      |1757      ,1846      |1827      ,"November 10, 1807",1807,1807,Hand-colored etching,Sheet: 13 11/16 × 9 9/16 in. (34.7 × 24.3 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811205,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
26.61.29(4),FALSE,FALSE,811206,Drawings and Prints,Print,"The Concert (Das Konzert), from 9 Lithographs",,,,,,Artist|Publisher,,Max Liebermann|Bruno Cassirer,"German, Berlin 1847–1935 Berlin",,"Liebermann, Max|Cassirer, Bruno",,1847,1935,1926,1926,1926,Lithograph; proof,Sheet: 16 13/16 × 12 7/16 in. (42.7 × 31.6 cm),"Harris Brisbane Dick Fund, 1926",,,,,,,,,,,,Portfolios|Prints,,http://www.metmuseum.org/art/collection/search/811206,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
